code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Benevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
104021001;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;ASSOCIATION KOLOINA;47,43189252;-19,3777969;86,02%;4;1;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104021002;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;CAP KOLOINA MITSINJO;47,42861856;-19,37362862;86,02%;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104131001;Privée;AMBATOLAMPY;ANDRIANTSIVALANA;BELAMBO FIRAISANA;ALAROBIA VAOVAO;COLLEGE PRIVE CATHOLIQUE ANDRAIDRAIKA;47,53865515;-19,31249783;86,02%;14;0;0;0;0;14;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104101005;Privée;AMBATOLAMPY;ANTANIMASAKA;ANTANIMASAKA;AMBOHIDRAFY;COLLEGE PRIVE CATHOLIQUE NOTRE DAME DE LOUDES AMBOHIDRAFY;47,53644697;-19,42031417;86,02%;3;0;0;0;0;3;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104031004;Privée;AMBATOLAMPY;AMBATONDRAKALAVAO;AMBATONDRAKALAVAO;VATOVANDANA II;COLLEGE PRIVE CATHOLIQUE SAINT ANDRE VATOVANDANA II;47,53565087;-19,49817377;86,02%;1;6;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104131002;Privée;AMBATOLAMPY;BELAMBO FIRAISANA;BELAMBO FIRAISANA;BELAMBO ANDAPA;COLLEGE PRIVE CATHOLIQUE SAINT JOSEPH BELAMBO;47,52044388;-19,40355467;86,02%;5;0;1;0;0;6;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104021004;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;COLLEGE PRIVE LA PROVIDENCE;47,42982394;-19,37887007;86,02%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104050101;Privée;AMBATOLAMPY;AMBOHIPIHAONANA;AMBOHIPIHAONANA;AMBOHIPIHAONANA;COLLEGE PRIVE MADA ESPOIR;47,41328;-19,44533;86,02%;0;5;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104061001;Privée;AMBATOLAMPY;ANDRANOVELONA;ANDRANOVELONA;ANTANETIBE OUEST;COLLEGE PRIVE SAINT JOSEPH ANTANETIBE;47,56363122;-19,65430422;86,02%;2;9;0;0;0;11;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104051001;Privée;AMBATOLAMPY;AMBOHIPIHAONANA;AMBOHIPIHAONANA;AMBOHIPIHAONANA;COLLEGE PRIVE SAINT JOSEPH IHAZOLAVA;47,41651796;-19,45096077;86,02%;1;4;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
