code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Bénevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
104020008;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;AMBANIMASO I;LYCEE AMBATOLAMPY;47,44513;-19,3741;37,49%;2;28;3;7;0;40;???;???;???;???;???;???;???;???;???;???;???;034 68 048 50;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104020605;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;ANKODONDONA I;LYCEE PRIVE LES INTELLOS;???;???;37,49%;10;0;0;0;0;10;???;???;???;???;???;???;???;???;???;???;???;034 11 333 09;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104020801;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;BEMASOANDRO EST;LYCEE MAHAZINA;47,43843403;-19,40372063;37,49%;7;4;1;0;0;12;???;???;???;???;???;???;???;???;???;???;???;034 75 874 10;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104021003;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;LYCEE PRIVE FJKM AMBATOLAMPY;47,4334634;-19,37989659;37,49%;12;3;0;0;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104021010;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;ANDAFIATSIMO;LYCEE CATHOLIQUE JUVENAT SACRE-COEUR;47,42133964;-19,39138267;37,49%;10;0;0;0;0;10;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104021012;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;LYCEE PRIVE JASCO;47,43161257;-19,3794611;37,49%;8;0;0;0;0;8;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104021016;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;BEMASOANDRO EST;LYCEE PRIVE SANDRAVAL;47,43347166;-19,3903941;37,49%;4;0;0;0;0;4;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104021019;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;BEMASOANDRO EST;LYCEE PRIVE ADVENTISTE BEMASOANDRO EST AMBATOLAMPY;47,431044;-19,3876595;37,49%;7;0;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;034 47 663 80;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104021033;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;AMBANIMASO I;INSTITUTION MARTHE HERVEE;47,43870485;-19,38005601;37,49%;9;2;0;0;0;11;???;???;???;???;???;???;???;???;???;???;???;034 02 693 46;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104051003;Privée;AMBATOLAMPY;AMBOHIPIHAONANA;AMBOHIPIHAONANA;MANANJARASOA ANDAKANA;ECOLE PRIVEE CATHOLIQUE ANDAKANA;47,46132218;-19,50410746;37,49%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104051013;Privée;AMBATOLAMPY;AMBOHIPIHAONANA;AMBOHIPIHAONANA;AMBOHIPIHAONANA;LYCEE PRIVE CATHOLIQUE CHRIST ROI;47,39738751;-19,3426649;37,49%;15;0;1;0;0;16;???;???;???;???;???;???;???;???;???;???;???;034 20 116 67;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104051014;Privée;AMBATOLAMPY;AMBOHIPIHAONANA;AMBOHIPIHAONANA;AMBOHIPIHAONANA;LYCEE PRIVE FLAMBEAU DU JOUR;47,39738751;-19,3426649;37,49%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104060402;Publique;AMBATOLAMPY;ANDRANOVELONA;ANDRANOVELONA;ANDRANOVELONA;LYCEE COMMUNAUTAIRE ANDRANOVELONA;???;???;37,49%;2;2;0;0;0;4;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104061001;Privée;AMBATOLAMPY;ANDRANOVELONA;ANDRANOVELONA;ANTANETIBE OUEST;COLLEGE PRIVE SAINT JOSEPH ANTANETIBE;47,56363122;-19,65430422;37,49%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;034 29 100 24;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104070007;Publique;AMBATOLAMPY;ANDRAVOLA VOHIPENO;ANDRAVOLA VOHIPENO;AMBINANIBE ANOSIARIVO;LYCEE COMMUNAUTAIRE ANDRAVOLA VOHIPENO;47,37848293;-19,40706133;37,49%;4;9;1;0;0;14;???;???;???;???;???;???;???;???;???;???;???;034 72 361 04;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104110015;Publique;AMBATOLAMPY;ANTSAMPANDRANO;ANTSAMPANDRANO;ANTSAMPANDRANO;LYCEE ANTSAMPANDRANO;47,58692187;-19,54035271;37,49%;2;14;1;1;0;18;???;???;???;???;???;???;???;???;???;???;???;034 60 984 09;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104120022;Publique;AMBATOLAMPY;BEHENJY;BEHENJY;TSARAFARA;LYCEE BEHENJY;47,47945608;-19,21687242;37,49%;4;17;0;2;0;23;???;???;???;???;???;???;???;???;???;???;???;034 80 433 70;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104121002;Privée;AMBATOLAMPY;BEHENJY;BEHENJY;BEHENJY CENTRE;LYCEE PRIVE CATHOLIQUE SACRE-COEUR DE JESUS BEHENJY;47,48540216;-19,20917988;37,49%;6;0;0;0;0;6;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
104121006;Privée;AMBATOLAMPY;BEHENJY;BEHENJY;TSARAFARA;LYCEE PRIVE FANOVOZANTSOA;47,48379762;-19,21545614;37,49%;5;0;0;0;0;5;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;26,97%;33,28%;25,00%;36,31%;44,17%;58,67%;44,83%;;
