code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Bénevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
104020002;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;AMBANIMASO I;EPP AMBANIMASO;47,44030684;-19,38140914;Pas d'examen;3;0;0;0;0;3;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;vola;(1=valider 
104020003;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;EPP AMBATOLAMPY VILLE;47,44514001;-19,37405634;Pas d'examen;0;2;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;0= nàn valider)
104020004;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;AMBATOMENA;EPP AMBATOMENA;47,4584536;-19,37819351;Pas d'examen;2;1;0;0;0;3;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020005;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;ANDAFIATSIMO;EPP ANDAFIATSIMO;47,42124632;-19,39328017;Pas d'examen;1;1;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020006;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;AMBODIRIANA;EPP ANDOHAFARIHY;47,42096636;-19,37501286;Pas d'examen;0;2;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020007;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;ANKODONDONA II;EPP MAHAZINA;47,44286535;-19,40027913;Pas d'examen;0;2;0;0;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020401;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;AMBODIRIANA;ECOLE PRIVEE LA GLOIRE;47,42137;-19,37348;Pas d'examen;2;0;4;0;0;6;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020603;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;ANKODONDONA I;ECOLE PRIVEE ELITE ACADEMY;47,43822949;-19,38908376;Pas d'examen;6;0;5;0;0;11;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020604;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;ANKODONDONA I;ECOLE PRIVEE MIHARISOA SCHOOL;47,43822949;-19,38908376;Pas d'examen;1;0;0;0;0;1;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104020901;Publique;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;EPP MANARAPENITRA ANTANIMARINA;47,42905467;-19,36810915;Pas d'examen;0;1;0;1;0;2;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
104021001;Privée;AMBATOLAMPY;AMBATOLAMPY;AMBATOLAMPY VILLE;HAUTE VILLE;ASSOCIATION KOLOINA;47,43189252;-19,3777969;Pas d'examen;3;0;0;0;0;3;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
